# word	score	pos
定时任务	13.4662	n
电视作品	13.4654	n
用户需求	13.4643	n
main函数	13.4633	n
后序遍历	13.4624	n
先天性心脏病	13.4618	n
隐藏文件	13.4612	n
国有独资企业	13.4601	n
内存分配	13.4584	n
支农惠农政策	13.4548	n
闵行	13.4542	ns
连接超时	13.4530	n
数据字典	13.4508	n
sql语句	13.4489	n

# reviewed NexaloidData candidates batch 3
国家广播电影电视总局	13.4477	n
小企业融资	13.4462	n
启动脚本	13.4444	n
金菊	13.4442	n
滥用职权罪	13.4436	n
烟草专卖法	13.4414	n
函数对象	13.4373	n
协议栈	13.4337	n
产品质量标准	13.4320	n
远程登录	13.4309	n
集成开发环境	13.4295	n
授权文件	13.4240	n
中国连锁经营协会	13.4237	n
数字字符	13.4232	n
商业贿赂行为	13.4213	n
信托贷款	13.4210	n
民事法律行为	13.4189	n
Android系统	13.4180	n
压力测试	13.4162	n
交投活跃	13.4161	n
县医院	13.4161	n
规划许可证	13.4156	n
字节码	13.4143	n
静态类	13.4112	n
出让国有土地使用权	13.4108	n
库文件	13.4108	n
自动换行	13.4104	n
包面	13.4077	n
系统开销	13.4073	n
数组元素	13.4061	n
测试过程	13.4043	n
锁屏	13.4032	n
数据链路层	13.4020	n
系统安装	13.4012	n
挤占挪用	13.4008	n
引用传递	13.4000	n
茶饼	13.4000	n
网络流	13.3991	n
Linux系统	13.3988	n
古越龙山	13.3987	n
回避制度	13.3974	n
弹出窗口	13.3972	n
进栈	13.3969	n
缩放比例	13.3932	n
轮眉	13.3925	n
系统功能	13.3917	n
餐包	13.3912	n
锁机制	13.3911	n
临时对象	13.3896	n
软件工程师	13.3880	n
芝士蛋糕	13.3831	n
传染病防治法	13.3806	n
输出格式	13.3803	n
公务员录用	13.3796	n
用户管理	13.3780	n
.h	13.3766	n
中国汽车网	13.3760	n
公司债券发行	13.3750	n
整型变量	13.3745	n
动态绑定	13.3727	n
用工单位	13.3725	n
非法用工	13.3720	n
空气清新剂	13.3685	n
快排	13.3682	n
机关单位	13.3678	n
米皮	13.3662	n
甜甜圈	13.3657	n
全局对象	13.3651	n
脱脂牛奶	13.3640	n
多宝鱼	13.3617	n
自动化测试	13.3558	n
高危人群	13.3558	n
Java语言	13.3548	n
程序设计语言	13.3547	n
打表	13.3542	n
合伙企业法	13.3531	n
商业承兑汇票	13.3528	n
私有变量	13.3518	n
具有法律约束力	13.3515	n
锁芯	13.3489	n
市场体系	13.3472	n
保险范围	13.3447	n
流行病学调查	13.3447	n
算术运算	13.3442	n
插入数据	13.3387	n
HTTP请求	13.3385	n
鱼罐头	13.3382	n
水果沙拉	13.3368	n
设备驱动程序	13.3365	n
节约能源法	13.3363	n
羊肉泡馍	13.3353	n
多维数组	13.3349	n
母女关系	13.3346	n
第一财经日报	13.3341	n
省人民医院	13.3330	ns
泡芙	13.3282	n
三道茶	13.3259	n
交叉编译	13.3259	n
价值目标	13.3254	n
蒙迪欧致胜	13.3246	n
野指针	13.3240	n
桂林米粉	13.3239	n
服务进程	13.3214	n
税收征收管理法	13.3213	n
远程访问	13.3204	n
身份认证	13.3181	n
程序集	13.3179	n
陆风汽车	13.3169	n
中国注册会计师	13.3165	n
定向募集	13.3160	n
异步处理	13.3155	n
重新连接	13.3146	n
菜豆腐	13.3086	n
市规划局	13.3085	ns
权限管理	13.3079	n
被动安全	13.3075	n
个人经营	13.3072	n
蓝城	13.3069	n
前照灯	13.3062	n
朗姆酒	13.3056	n
奶汤	13.3051	n
金华火腿	13.3026	n
展览中心	13.3003	ns
比较器	13.2991	n
央企	13.2988	n
3D	13.2971	n
价格监督检查	13.2939	n
承担连带责任	13.2937	n
传递参数	13.2927	n
土地复垦	13.2921	n
灵长类动物	13.2921	n
读取文件	13.2907	n
文件读写	13.2903	n
逻辑结构	13.2894	n
非法拘禁罪	13.2892	n
设计理念	13.2872	n
风险抵押金	13.2831	n
适配器模式	13.2825	n
教育学院	13.2816	ns
目录树	13.2814	n
获取焦点	13.2767	n
锚点	13.2758	n
权利和利益	13.2749	n
面向对象设计	13.2734	n
处理方法	13.2720	n
懒加载	13.2712	n
封装类	13.2709	n
次要责任	13.2709	n
删除目录	13.2694	n
产业园区	13.2688	ns
启动时间	13.2674	n
完全二叉树	13.2670	n
操作确认	13.2668	n
性能分析	13.2661	n
强类型	13.2659	n
编辑文件	13.2657	n
汇泉	13.2643	n
审判监督程序	13.2637	n
国债回购	13.2631	n
深搜	13.2624	n
任务队列	13.2607	n
语法规则	13.2580	n
当前用户	13.2577	n
咸亨	13.2565	n
重症监护	13.2546	n
ip地址	13.2546	n
错误提示	13.2546	n
社区医院	13.2522	n
案情重大	13.2516	n
版本更新	13.2503	n
本地代码	13.2496	n
内存泄露	13.2482	n
用户登录	13.2479	n
主函数	13.2469	n
保护现场	13.2462	n
数据一致性	13.2443	n
版本管理	13.2436	n
目标文件	13.2433	n
可再生能源法	13.2432	n
隐式转换	13.2432	n
多字节	13.2426	n
上传文件	13.2415	n
数据连接	13.2413	n
丢包	13.2409	n
经营信息	13.2398	n
帧率	13.2396	n
一汽轿车	13.2395	n
全排列	13.2381	n
稻花香	13.2381	n
履行法定职责	13.2377	n
动画效果	13.2377	n
第二医院	13.2368	ns
邻接表	13.2337	n
内存模型	13.2332	n
删除操作	13.2330	n
速溶咖啡	13.2313	n
安装过程	13.2307	n
程序计数器	13.2305	n
赔偿范围	13.2293	n
巧克力蛋糕	13.2280	n
埃博拉病毒	13.2263	n
便宜坊	13.2261	n
食品安全法	13.2246	n
内部函数	13.2242	n
中国古代史	13.2234	n
实现原理	13.2232	n
面向对象语言	13.2230	n
移动开发	13.2224	n
宽高	13.2221	n
无符号整数	13.2211	n
外商投资产业指导目录	13.2188	n
冰沙	13.2180	n
系统内核	13.2178	n
容器类	13.2171	n
应用进程	13.2171	n
希尔排序	13.2140	n
递归算法	13.2106	n
组织结构	13.2085	n
网络图片	13.2066	n
平板电脑	13.2062	n
行为模式	13.2060	n
广播影视	13.2056	n
云服务	13.2056	n
root用户	13.2049	n
颅脑损伤	13.2034	n
百度地图	13.2032	n
空指针异常	13.2032	n
二分图	13.2017	n
新闻工作者协会	13.2015	n
新建工程	13.2005	n
谋取暴利	13.2001	n
抽象工厂	13.1997	n
经济参考报	13.1971	n
中外合作经营企业	13.1963	n
函数式编程	13.1956	n
XML文件	13.1936	n
带参数	13.1926	n
散列表	13.1920	n
电喷发动机	13.1920	n
新都	13.1912	ns
文件管理	13.1888	n
外部调用	13.1848	n
生产工艺技术	13.1848	n
技术问题	13.1836	n
廉租住房制度	13.1815	n
开源社区	13.1812	n
常住户口	13.1789	n
远程服务	13.1774	n
唯一标识	13.1745	n
案情复杂	13.1744	n
产权界定	13.1730	n
拓扑排序	13.1730	n
开闭原则	13.1712	n
证券承销	13.1695	n
中心城	13.1685	ns
粉碎性骨折	13.1665	n
函数定义	13.1661	n
犯罪手段	13.1659	n
中国现代史	13.1657	n
项目谈判	13.1655	n
HTTP协议	13.1654	n
存储文件	13.1651	n
经营自主权	13.1651	n
逻辑判断	13.1647	n
继承关系	13.1645	n
并发编程	13.1634	n
企业章程	13.1632	n
创业公司	13.1628	n
车载冰箱	13.1624	n
国家公园	13.1612	ns
入栈	13.1611	n
民商事案件	13.1610	n
平仓价	13.1608	n
共享变量	13.1587	n
java代码	13.1582	n
get方法	13.1570	n
职业病防治法	13.1561	n
执行效率	13.1558	n
甜蜜素	13.1554	n
思维方式	13.1546	n
供应合同	13.1538	n
线程调度	13.1536	n
中序	13.1528	n
